,,3b. N2O from Manure Management in Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1991,Dairy Cows,690.0,," 101,129,990 ",," 14,418,491 ",," 44,728,705 ",," 14,418 ",+," 894,574 ", = ," 1,428,417 ", = ," 103,236 ", = , 0.10324 , = , 0.37853 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1991,Dairy Replacement Heifers,320.0,," 25,253,831 ",," 3,600,536 ",," 14,696,183 ",," 3,601 ",+," 293,924 ", = ," 461,880 ", = ," 33,381 ", = , 0.03338 , = , 0.12240 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1991,Beef Cattle,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1991,Feedlot Heifers,88.6,," 5,023,160 ",, NA ,," 5,023,160 ",, NA ,+," 100,463 ", = ," 157,871 ", = ," 11,410 ", = , 0.01141 , = , 0.04184 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1991,Feedlot Steer,174.1,," 10,326,336 ",, NA ,," 10,326,336 ",, NA ,+," 206,527 ", = ," 324,542 ", = ," 23,456 ", = , 0.02346 , = , 0.08600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1991,Swine,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1991,Breeding Swine,597.5,," 10,147,611 ",," 8,754,518 ",," 430,929 ",," 8,755 ",+," 8,619 ", = ," 27,301 ", = ," 1,973 ", = , 0.00197 , = , 0.00723 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1991,Market Under 60 lbs,"1,677.5",," 5,833,875 ",," 5,032,984 ",," 247,742 ",," 5,033 ",+," 4,955 ", = ," 15,695 ", = ," 1,134 ", = , 0.00113 , = , 0.00416 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1991,Market 60-119 lbs,"1,027.5",," 6,395,139 ",," 5,517,196 ",," 271,576 ",," 5,517 ",+," 5,432 ", = ," 17,205 ", = ," 1,243 ", = , 0.00124 , = , 0.00456 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1991,Market 120-179 lbs,797.5,," 8,291,453 ",," 7,153,178 ",," 352,105 ",," 7,153 ",+," 7,042 ", = ," 22,307 ", = ," 1,612 ", = , 0.00161 , = , 0.00591 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1991,Market over 180 lbs,650.0,," 9,042,784 ",," 7,801,364 ",," 384,011 ",," 7,801 ",+," 7,680 ", = ," 24,328 ", = ," 1,758 ", = , 0.00176 , = , 0.00645 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1991,Poultry,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1991,Layers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1991,Hens > 1 yr,"11,200.0",," 5,114,088 ",," 1,136,464 ",," 3,977,624 ",," 1,136 ",+," 19,888 ", = ," 33,039 ", = ," 2,388 ", = , 0.00239 , = , 0.00876 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1991,Pullets,"3,150.0",," 1,438,337 ",," 319,630 ",," 1,118,707 ",, 320 ,+," 5,594 ", = ," 9,292 ", = , 672 , = , 0.00067 , = , 0.00246 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1991,Chickens,50.0,," 27,266 ",," 6,059 ",," 21,207 ",, 6 ,+, 106 , = , 176 , = , 13 , = , 0.00001 , = , 0.00005 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1991,Broilers,"8,200.0",," 2,963,070 ",, NA ,," 2,963,070 ",, NA ,+," 59,261 ", = ," 93,125 ", = ," 6,730 ", = , 0.00673 , = , 0.02468 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1991,Turkeys,"17,837.8",," 32,762,400 ",, NA ,," 32,762,400 ",, NA ,+," 655,248 ", = ," 1,029,675 ", = ," 74,417 ", = , 0.07442 , = , 0.27286 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
