,Minnesota,2. Enteric Fermentation Emissions in Minnesota,,,,,,,,,,,,,
9,1999,   Replacements 12-24 mos.,0.0,x,66.3,=, -   ,=,0.0000,=,0.000,=,0.000,,
10,1999,Heifer Stockers,170.0,x,59.1,=," 10,047,595 ",=,0.0100,=,0.077,=,0.281,,
11,1999,Steer Stockers,455.0,x,57.7,=," 26,236,497 ",=,0.0262,=,0.200,=,0.735,,
15,1999,Feedlot Heifers,92.0,x,37.2,=," 3,425,214 ",=,0.0034,=,0.026,=,0.096,,
16,1999,Feedlot Steer,163.0,x,36.2,=," 5,908,961 ",=,0.0059,=,0.045,=,0.165,,
12,1999,Bulls,35.0,x,94.2,=," 3,295,421 ",=,0.0033,=,0.025,=,0.092,,
,1999,Other,,,,,,,,,,,,,
28,1999,Sheep,175.0,x,8.0,=," 1,400,000 ",=,0.0014,=,0.011,=,0.039,,
31,1999,Goats,13.6,x,5.0,=," 68,114 ",=,0.0001,=,0.001,=,0.002,,
17,1999,Swine,"5,550.0",x,1.5,=," 8,325,000 ",=,0.0083,=,0.064,=,0.233,,
32,1999,Horses,78.9,x,18.0,=," 1,420,585 ",=,0.0014,=,0.011,=,0.040,,
,,TOTAL,,,,," 181,051,512 ",,0.1811,,1.383,,5.069,,
,,,,,,,,,,,,,,,
,,Enteric Fermentation,,,2000,,,,,,,,,,
,,,Number of Animals        ('000 head),,Emission Factor     (kg CH4/head),,Emissions       (kg CH4),,Emissions  (MMTCH4),,Emissions  (MMTCE),,Emissions  (MMTCO2E),,
12,,Dairy Cattle,,,,,,,,,,,,,
2,2000,Dairy Cows,540.0,x,119.4,=," 64,490,394 ",=,0.0645,=,0.492,=,1.806,,
3,2000,Dairy Replacement Heifers,290.0,x,54.7,=," 15,856,529 ",=,0.0159,=,0.121,=,0.444,,
4,2000,   Replacements 0-12 mos.,0.0,x,43.5,=, -   ,=,0.0000,=,0.000,=,0.000,,
5,2000,   Replacements 12-24 mos.,0.0,x,65.8,=, -   ,=,0.0000,=,0.000,=,0.000,,
,2000,Beef Cattle,,,,,,,,,,,,,
6,2000,Beef Cows,400.0,x,90.0,=," 36,010,093 ",=,0.0360,=,0.275,=,1.008,,
7,2000,Beef Replacement Heifers,100.0,x,60.7,=," 6,073,595 ",=,0.0061,=,0.046,=,0.170,,
8,2000,   Replacements 0-12 mos.,0.0,x,56.1,=, -   ,=,0.0000,=,0.000,=,0.000,,
9,2000,   Replacements 12-24 mos.,0.0,x,65.3,=, -   ,=,0.0000,=,0.000,=,0.000,,
10,2000,Heifer Stockers,180.0,x,60.3,=," 10,861,100 ",=,0.0109,=,0.083,=,0.304,,
11,2000,Steer Stockers,460.0,x,58.3,=," 26,801,083 ",=,0.0268,=,0.205,=,0.750,,
15,2000,Feedlot Heifers,95.2,x,39.2,=," 3,730,145 ",=,0.0037,=,0.028,=,0.104,,
16,2000,Feedlot Steer,168.2,x,38.2,=," 6,429,298 ",=,0.0064,=,0.049,=,0.180,,
12,2000,Bulls,40.0,x,93.1,=," 3,722,385 ",=,0.0037,=,0.028,=,0.104,,
,2000,Other,,,,,,,,,,,,,
28,2000,Sheep,165.0,x,8.0,=," 1,320,000 ",=,0.0013,=,0.010,=,0.037,,
31,2000,Goats,15.7,x,5.0,=," 78,356 ",=,0.0001,=,0.001,=,0.002,,
17,2000,Swine,"5,625.0",x,1.5,=," 8,437,500 ",=,0.0084,=,0.064,=,0.236,,
32,2000,Horses,83.5,x,18.0,=," 1,503,677 ",=,0.0015,=,0.011,=,0.042,,
,,TOTAL,,,,," 185,314,153 ",,0.1853,,1.415,,5.189,,
,,,,,,,,,,,,,,,
,,Enteric Fermentation,,,2001,,,,,,,,,,
,,,Number of Animals        ('000 head),,Emission Factor     (kg CH4/head),,Emissions       (kg CH4),,Emissions  (MMTCH4),,Emissions  (MMTCE),,Emissions  (MMTCO2E),,
13,,Dairy Cattle,,,,,,,,,,,,,
2,2001,Dairy Cows,520.0,x,117.0,=," 60,855,976 ",=,0.0609,=,0.465,=,1.704,,
3,2001,Dairy Replacement Heifers,290.0,x,54.5,=," 15,798,819 ",=,0.0158,=,0.121,=,0.442,,
4,2001,   Replacements 0-12 mos.,0.0,x,43.4,=, -   ,=,0.0000,=,0.000,=,0.000,,
5,2001,   Replacements 12-24 mos.,0.0,x,65.5,=, -   ,=,0.0000,=,0.000,=,0.000,,
,2001,Beef Cattle,,,,,,,,,,,,,
6,2001,Beef Cows,410.0,x,90.0,=," 36,902,468 ",=,0.0369,=,0.282,=,1.033,,
