scc6_new,scc_level_one,scc_level_two,scc_level_three,fuel_type_detect,scc6_desc,alt_mode,alt_mode_truck,scc6_desc_manual,scc6_desc_broad
226500,Mobile Sources,Off-highway Vehicle Gasoline,Commercial Equipment,Gasoline,NA,Commercial equipment,Commercial equipment,Gasoline; Commercial equipment,Gasoline; Commercial equipment
226500,Mobile Sources,"Off-highway Vehicle Gasoline, 4-Stroke",Construction and Mining Equipment,Gasoline,NA,Construction and mining equipment,Construction and mining equipment,Gasoline; Construction and mining equipment,Gasoline; Construction and mining equipment
226500,Mobile Sources,Off-highway Vehicle Gasoline,Construction Equipment,Gasoline,NA,Construction equipment,Construction equipment,Gasoline; Construction equipment,Gasoline; Construction equipment
226500,Mobile Sources,"Off-highway Vehicle Gasoline, 4-Stroke",Industrial Equipment,Gasoline,NA,Industrial equipment,Industrial equipment,Gasoline; Industrial equipment,Gasoline; Industrial equipment
226500,Mobile Sources,Off-highway Vehicle Gasoline,Industrial Equipment,Gasoline,NA,Industrial equipment,Industrial equipment,Gasoline; Industrial equipment,Gasoline; Industrial equipment
226500,Mobile Sources,"Off-highway Vehicle Gasoline, 4-Stroke",Lawn and Garden Equipment,Gasoline,NA,Lawn and garden equipment,Lawn and garden equipment,Gasoline; Lawn and garden equipment,Gasoline; Lawn and garden equipment
226500,Mobile Sources,Off-highway Vehicle Gasoline,Lawn and Garden Equipment,Gasoline,NA,Lawn and garden equipment,Lawn and garden equipment,Gasoline; Lawn and garden equipment,Gasoline; Lawn and garden equipment
226500,Mobile Sources,"Off-highway Vehicle Gasoline, 4-Stroke",Logging Equipment,Gasoline,NA,Logging equipment,Logging equipment,Gasoline; Logging equipment,Gasoline; Logging equipment
226500,Mobile Sources,Off-highway Vehicle Gasoline,Logging Equipment,Gasoline,NA,Logging equipment,Logging equipment,Gasoline; Logging equipment,Gasoline; Logging equipment
226500,Mobile Sources,"Off-highway Vehicle Gasoline, 4-Stroke",Recreational Equipment,Gasoline,NA,Recreational equipment,Recreational equipment,Gasoline; Recreational equipment,Gasoline; Recreational equipment
226500,Mobile Sources,Off-highway Vehicle Gasoline,Recreational Equipment,Gasoline,NA,Recreational equipment,Recreational equipment,Gasoline; Recreational equipment,Gasoline; Recreational equipment
226501,Mobile Sources,Off-highway Vehicle Gasoline,Industrial Equipment,Gasoline,NA,Industrial equipment,Industrial equipment,Gasoline; Industrial equipment,Gasoline; Industrial equipment
226700,Mobile Sources,LPG,Agricultural Equipment,Liquefied petroleum gas (LPG),NA,Agricultural equipment,Agricultural equipment,Liquefied petroleum gas (LPG); Agricultural equipment,Liquefied petroleum gas (LPG); Agricultural equipment
226700,Mobile Sources,Off-highway Vehicle LPG,Agricultural Equipment,Liquefied petroleum gas (LPG),NA,Agricultural equipment,Agricultural equipment,Liquefied petroleum gas (LPG); Agricultural equipment,Liquefied petroleum gas (LPG); Agricultural equipment
226700,Mobile Sources,LPG,Commercial Equipment,Liquefied petroleum gas (LPG),NA,Commercial equipment,Commercial equipment,Liquefied petroleum gas (LPG); Commercial equipment,Liquefied petroleum gas (LPG); Commercial equipment
226700,Mobile Sources,Off-highway Vehicle LPG,Commercial Equipment,Liquefied petroleum gas (LPG),NA,Commercial equipment,Commercial equipment,Liquefied petroleum gas (LPG); Commercial equipment,Liquefied petroleum gas (LPG); Commercial equipment
226700,Mobile Sources,LPG,Construction and Mining Equipment,Liquefied petroleum gas (LPG),NA,Construction and mining equipment,Construction and mining equipment,Liquefied petroleum gas (LPG); Construction and mining equipment,Liquefied petroleum gas (LPG); Construction and mining equipment
226700,Mobile Sources,Off-highway Vehicle LPG,Construction Equipment,Liquefied petroleum gas (LPG),NA,Construction equipment,Construction equipment,Liquefied petroleum gas (LPG); Construction equipment,Liquefied petroleum gas (LPG); Construction equipment
226700,Mobile Sources,LPG,Industrial Equipment,Liquefied petroleum gas (LPG),NA,Industrial equipment,Industrial equipment,Liquefied petroleum gas (LPG); Industrial equipment,Liquefied petroleum gas (LPG); Industrial equipment
226700,Mobile Sources,Off-highway Vehicle LPG,Industrial Equipment,Liquefied petroleum gas (LPG),NA,Industrial equipment,Industrial equipment,Liquefied petroleum gas (LPG); Industrial equipment,Liquefied petroleum gas (LPG); Industrial equipment
226700,Mobile Sources,LPG,Lawn and Garden Equipment,Liquefied petroleum gas (LPG),NA,Lawn and garden equipment,Lawn and garden equipment,Liquefied petroleum gas (LPG); Lawn and garden equipment,Liquefied petroleum gas (LPG); Lawn and garden equipment
226700,Mobile Sources,Off-highway Vehicle LPG,Lawn and Garden Equipment,Liquefied petroleum gas (LPG),NA,Lawn and garden equipment,Lawn and garden equipment,Liquefied petroleum gas (LPG); Lawn and garden equipment,Liquefied petroleum gas (LPG); Lawn and garden equipment
226700,Mobile Sources,Off-highway Vehicle LPG,Recreational Equipment,Liquefied petroleum gas (LPG),NA,Recreational equipment,Recreational equipment,Liquefied petroleum gas (LPG); Recreational equipment,Liquefied petroleum gas (LPG); Recreational equipment
226800,Mobile Sources,CNG,Agricultural Equipment,Compressed natural gas (CNG),NA,Agricultural equipment,Agricultural equipment,Compressed natural gas (CNG); Agricultural equipment,Compressed natural gas (CNG); Agricultural equipment
226800,Mobile Sources,Off-highway Vehicle CNG,Agricultural Equipment,Compressed natural gas (CNG),NA,Agricultural equipment,Agricultural equipment,Compressed natural gas (CNG); Agricultural equipment,Compressed natural gas (CNG); Agricultural equipment
226800,Mobile Sources,CNG,Commercial Equipment,Compressed natural gas (CNG),NA,Commercial equipment,Commercial equipment,Compressed natural gas (CNG); Commercial equipment,Compressed natural gas (CNG); Commercial equipment
226800,Mobile Sources,Off-highway Vehicle CNG,Commercial Equipment,Compressed natural gas (CNG),NA,Commercial equipment,Commercial equipment,Compressed natural gas (CNG); Commercial equipment,Compressed natural gas (CNG); Commercial equipment
226800,Mobile Sources,CNG,Construction and Mining Equipment,Compressed natural gas (CNG),NA,Construction and mining equipment,Construction and mining equipment,Compressed natural gas (CNG); Construction and mining equipment,Compressed natural gas (CNG); Construction and mining equipment
226800,Mobile Sources,Off-highway Vehicle CNG,Construction Equipment,Compressed natural gas (CNG),NA,Construction equipment,Construction equipment,Compressed natural gas (CNG); Construction equipment,Compressed natural gas (CNG); Construction equipment
226800,Mobile Sources,CNG,Industrial Equipment,Compressed natural gas (CNG),NA,Industrial equipment,Industrial equipment,Compressed natural gas (CNG); Industrial equipment,Compressed natural gas (CNG); Industrial equipment
226800,Mobile Sources,Off-highway Vehicle CNG,Industrial Equipment,Compressed natural gas (CNG),NA,Industrial equipment,Industrial equipment,Compressed natural gas (CNG); Industrial equipment,Compressed natural gas (CNG); Industrial equipment
226801,Mobile Sources,Off-highway Vehicle CNG,Industrial Equipment,Compressed natural gas (CNG),NA,Industrial equipment,Industrial equipment,Compressed natural gas (CNG); Industrial equipment,Compressed natural gas (CNG); Industrial equipment
227000,Mobile Sources,Off-highway Vehicle Diesel,Agricultural Equipment,Diesel,NA,Agricultural equipment,Agricultural equipment,Diesel; Agricultural equipment,Diesel; Agricultural equipment
227000,Mobile Sources,Off-highway Vehicle Diesel,Commercial Equipment,Diesel,NA,Commercial equipment,Commercial equipment,Diesel; Commercial equipment,Diesel; Commercial equipment
227000,Mobile Sources,Off-highway Vehicle Diesel,Construction and Mining Equipment,Diesel,NA,Construction and mining equipment,Construction and mining equipment,Diesel; Construction and mining equipment,Diesel; Construction and mining equipment
227000,Mobile Sources,Off-highway Vehicle Diesel,Construction Equipment,Diesel,NA,Construction equipment,Construction equipment,Diesel; Construction equipment,Diesel; Construction equipment
227000,Mobile Sources,Off-highway Vehicle Diesel,Industrial Equipment,Diesel,NA,Industrial equipment,Industrial equipment,Diesel; Industrial equipment,Diesel; Industrial equipment
227000,Mobile Sources,Off-highway Vehicle Diesel,Lawn and Garden Equipment,Diesel,NA,Lawn and garden equipment,Lawn and garden equipment,Diesel; Lawn and garden equipment,Diesel; Lawn and garden equipment
