utility_id,year,ctu_id,customer_class_id,mwh_per_year,number_of_customers
85,2016,664388,5,768.457,50
85,2016,664443,8,NULL,NULL
85,2016,664443,1,552.621,31
85,2016,664443,5,552.621,31
85,2016,664502,8,NULL,NULL
85,2016,664502,1,1456.297,83
85,2016,664502,5,1456.297,83
85,2016,664569,1,NULL,NULL
85,2016,664569,5,NULL,NULL
85,2016,664705,11,1.253,NULL
85,2016,664705,8,858.791,49
85,2016,664705,1,3064.046,252
85,2016,664705,5,3924.09,301
85,2016,664793,1,246.462,24
85,2016,664793,5,246.462,24
85,2016,664793,8,NULL,NULL
85,2016,664793,1,NULL,NULL
85,2016,664793,5,NULL,NULL
85,2016,664793,8,NULL,NULL
85,2016,664829,5,NULL,NULL
85,2016,664919,1,NULL,NULL
85,2016,664919,5,NULL,NULL
85,2016,664932,8,813.273,57
85,2016,664932,1,8704.481,709
85,2016,664932,5,9517.754,766
85,2016,665104,8,NULL,NULL
85,2016,665104,11,3.831,NULL
85,2016,665104,1,390.323,31
85,2016,665104,5,394.154,31
85,2016,665126,8,NULL,NULL
85,2016,665126,1,NULL,NULL
85,2016,665126,11,0.713,NULL
85,2016,665126,5,0.713,0
85,2016,665377,8,232.962,35
85,2016,665377,1,2930.126,245
85,2016,665377,5,3163.088,280
85,2016,665519,5,NULL,NULL
85,2016,665541,8,NULL,NULL
85,2016,665541,11,0.485,NULL
85,2016,665541,1,761.282,63
85,2016,665541,5,761.767,63
85,2016,665551,8,NULL,NULL
85,2016,665551,1,1735.855,117
85,2016,665551,5,1735.855,117
85,2016,665569,8,NULL,NULL
85,2016,665569,1,439.426,32
85,2016,665569,5,439.426,32
85,2016,665676,8,211.326,24
85,2016,665676,11,0.485,NULL
85,2016,665676,1,2317.369,202
85,2016,665676,5,2529.18,226
85,2017,663529,9,0.014,NULL
85,2017,663529,11,14.932,NULL
85,2017,663529,8,1320.53,193
85,2017,663529,1,9820.182,714
85,2017,663529,5,11155.658,907
85,2017,663556,8,NULL,NULL
85,2017,663556,1,1161.435,137
85,2017,663556,5,1161.435,137
85,2017,663571,8,349.828,35
85,2017,663571,9,1.209,NULL
85,2017,663571,1,4098.159,250
85,2017,663571,5,4449.196,285
85,2017,663612,8,NULL,NULL
85,2017,663612,1,1310.59,98
85,2017,663612,5,1310.59,98
85,2017,663731,8,NULL,NULL
85,2017,663731,1,1227.337,82
85,2017,663731,5,1227.337,82
85,2017,663763,1,1019.875,96
85,2017,663763,7,1248.025,46
85,2017,663763,5,2267.9,142
85,2017,663886,8,NULL,NULL
85,2017,663886,11,0.711,NULL
85,2017,663886,1,543.524,53
85,2017,663886,5,544.235,53
85,2017,663913,8,NULL,NULL
85,2017,663913,1,1337.245,95
85,2017,663913,5,1337.245,95
85,2017,663965,9,1.445,NULL
85,2017,663965,7,6442.185,145
85,2017,663965,1,9378.625,717
85,2017,663965,5,15819.365,862
85,2017,664099,10,24.336,NULL
85,2017,664099,11,44.566,NULL
85,2017,664099,8,7132.729,116
85,2017,664099,1,8864.941,870
85,2017,664099,5,16066.572,986
85,2017,664113,8,NULL,NULL
85,2017,664113,1,NULL,NULL
85,2017,664113,5,NULL,NULL
85,2017,664202,11,3.123,NULL
85,2017,664202,9,82.542,NULL
85,2017,664202,9,133.347,NULL
85,2017,664202,1,457.338,280
