"","sector","kwh_delivered","util_reported_co2e","mWh_delivered","city_name","utility_name","year","source","sector_mapped","ctu_class","ctu_name"
"2299","Street Lighting - Non-Metered/Xcel-Owned",327649,89.775826,327.649,"City of Farmington","Xcel Energy",2020,"Electricity","commercial","CITY","Farmington"
"2300","Commercial",21840097,5984.186578,21840.097,"City of Forest Lake","Xcel Energy",2020,"Electricity","commercial","CITY","Forest Lake"
"2301","Industrial",30012231,8223.351294,30012.231,"City of Forest Lake","Xcel Energy",2020,"Electricity","industrial","CITY","Forest Lake"
"2302","Residential",54619110,14965.63614,54619.11,"City of Forest Lake","Xcel Energy",2020,"Electricity","residential","CITY","Forest Lake"
"2303","Street Lighting - Metered",58831,16.119694,58.831,"City of Forest Lake","Xcel Energy",2020,"Electricity","commercial","CITY","Forest Lake"
"2304","Street Lighting - Non-Metered/Customer Owned",7690,2.10706,7.69,"City of Forest Lake","Xcel Energy",2020,"Electricity","commercial","CITY","Forest Lake"
"2305","Street Lighting - Non-Metered/Xcel-Owned",153233,41.985842,153.233,"City of Forest Lake","Xcel Energy",2020,"Electricity","commercial","CITY","Forest Lake"
"2306","Business",314330023,86126.426302,314330.023,"City of Fridley","Xcel Energy",2020,"Electricity","Business","CITY","Fridley"
"2307","Residential",79455012.01,21770.67329074,79455.01201,"City of Fridley","Xcel Energy",2020,"Electricity","residential","CITY","Fridley"
"2308","Street Lighting - Metered",117026,32.065124,117.026,"City of Fridley","Xcel Energy",2020,"Electricity","commercial","CITY","Fridley"
"2309","Street Lighting - Non-Metered/Customer Owned",138655,37.99147,138.655,"City of Fridley","Xcel Energy",2020,"Electricity","commercial","CITY","Fridley"
"2310","Street Lighting - Non-Metered/Xcel-Owned",202675,55.53295,202.675,"City of Fridley","Xcel Energy",2020,"Electricity","commercial","CITY","Fridley"
"2311","Commercial",70207982,19236.987068,70207.982,"City of Golden Valley","Xcel Energy",2020,"Electricity","commercial","CITY","Golden Valley"
"2312","Industrial",149851886,41059.416764,149851.886,"City of Golden Valley","Xcel Energy",2020,"Electricity","industrial","CITY","Golden Valley"
"2313","Residential",77653050.84,21276.93593016,77653.05084,"City of Golden Valley","Xcel Energy",2020,"Electricity","residential","CITY","Golden Valley"
"2314","Street Lighting - Metered",357469,97.946506,357.469,"City of Golden Valley","Xcel Energy",2020,"Electricity","commercial","CITY","Golden Valley"
"2315","Street Lighting - Non-Metered/Customer Owned",103894,28.466956,103.894,"City of Golden Valley","Xcel Energy",2020,"Electricity","commercial","CITY","Golden Valley"
"2316","Street Lighting - Non-Metered/Xcel-Owned",540135,147.99699,540.135,"City of Golden Valley","Xcel Energy",2020,"Electricity","commercial","CITY","Golden Valley"
"2317","Business *",NA,NA,NA,"City of Granite Falls","Xcel Energy",2020,"Electricity","Business","CITY","Granite Falls"
"2318","Residential",NA,NA,NA,"City of Granite Falls","Xcel Energy",2020,"Electricity","residential","CITY","Granite Falls"
"2319","Street Lighting - Metered",450,0.1233,0.45,"City of Granite Falls","Xcel Energy",2020,"Electricity","commercial","CITY","Granite Falls"
"2320","Business *",74229797,20338.964378,74229.797,"City of Hastings","Xcel Energy",2020,"Electricity","Business","CITY","Hastings"
"2321","Residential",55459923.01,15196.01890474,55459.92301,"City of Hastings","Xcel Energy",2020,"Electricity","residential","CITY","Hastings"
"2322","Street Lighting - Metered",138933,38.067642,138.933,"City of Hastings","Xcel Energy",2020,"Electricity","commercial","CITY","Hastings"
"2323","Street Lighting - Non-Metered/Customer Owned",144612,39.623688,144.612,"City of Hastings","Xcel Energy",2020,"Electricity","commercial","CITY","Hastings"
"2324","Street Lighting - Non-Metered/Xcel-Owned",243235,66.64639,243.235,"City of Hastings","Xcel Energy",2020,"Electricity","commercial","CITY","Hastings"
"2325","Commercial",33308631,9126.564894,33308.631,"City of Hopkins","Xcel Energy",2020,"Electricity","commercial","CITY","Hopkins"
"2326","Industrial",99398436,27235.171464,99398.436,"City of Hopkins","Xcel Energy",2020,"Electricity","industrial","CITY","Hopkins"
"2327","Residential",48344612,13246.423688,48344.612,"City of Hopkins","Xcel Energy",2020,"Electricity","residential","CITY","Hopkins"
"2328","Street Lighting - Metered",110255,30.20987,110.255,"City of Hopkins","Xcel Energy",2020,"Electricity","commercial","CITY","Hopkins"
"2329","Street Lighting - Non-Metered/Customer Owned",225293,61.730282,225.293,"City of Hopkins","Xcel Energy",2020,"Electricity","commercial","CITY","Hopkins"
"2330","Street Lighting - Non-Metered/Xcel-Owned",212601,58.252674,212.601,"City of Hopkins","Xcel Energy",2020,"Electricity","commercial","CITY","Hopkins"
"2331","Business",3425944,938.708656,3425.944,"City of Independence","Xcel Energy",2020,"Electricity","Business","CITY","Independence"
"2332","Residential",4515033,1237.119042,4515.033,"City of Independence","Xcel Energy",2020,"Electricity","residential","CITY","Independence"
"2333","Street Lighting - Metered",1058,0.289892,1.058,"City of Independence","Xcel Energy",2020,"Electricity","commercial","CITY","Independence"
"2334","Street Lighting - Non-Metered/Xcel-Owned",5082,1.392468,5.082,"City of Independence","Xcel Energy",2020,"Electricity","commercial","CITY","Independence"
"2335","Business *",101392765,27781.61761,101392.765,"City of Inver Grove Heights","Xcel Energy",2020,"Electricity","Business","CITY","Inver Grove Heights"
"2336","Residential",96093535,26329.62859,96093.535,"City of Inver Grove Heights","Xcel Energy",2020,"Electricity","residential","CITY","Inver Grove Heights"
"2337","Street Lighting - Metered",136143,37.303182,136.143,"City of Inver Grove Heights","Xcel Energy",2020,"Electricity","commercial","CITY","Inver Grove Heights"
"2338","Street Lighting - Non-Metered/Customer Owned",72769,19.938706,72.769,"City of Inver Grove Heights","Xcel Energy",2020,"Electricity","commercial","CITY","Inver Grove Heights"
"2339","Street Lighting - Non-Metered/Xcel-Owned",442879,121.348846,442.879,"City of Inver Grove Heights","Xcel Energy",2020,"Electricity","commercial","CITY","Inver Grove Heights"
"2340","Business",16207274,4440.793076,16207.274,"City of Jordan","Xcel Energy",2020,"Electricity","Business","CITY","Jordan"
"2341","Residential",13067425.7,3580.4746418,13067.4257,"City of Jordan","Xcel Energy",2020,"Electricity","residential","CITY","Jordan"
"2342","Street Lighting - Non-Metered/Customer Owned",93593,25.644482,93.593,"City of Jordan","Xcel Energy",2020,"Electricity","commercial","CITY","Jordan"
"2343","Street Lighting - Non-Metered/Xcel-Owned",83487,22.875438,83.487,"City of Jordan","Xcel Energy",2020,"Electricity","commercial","CITY","Jordan"
"2344","Business *",NA,NA,NA,"City of Kasson","Xcel Energy",2020,"Electricity","Business","CITY","Kasson"
"2345","Residential",NA,NA,NA,"City of Kasson","Xcel Energy",2020,"Electricity","residential","CITY","Kasson"
"2346","Street Lighting - Non-Metered/Xcel-Owned",1276,0.349624,1.276,"City of Kasson","Xcel Energy",2020,"Electricity","commercial","CITY","Kasson"
"2347","Business",9100196,2493.453704,9100.196,"City of La Crescent","Xcel Energy",2020,"Electricity","Business","CITY","La Crescent"
"2348","Residential",20114163,5511.280662,20114.163,"City of La Crescent","Xcel Energy",2020,"Electricity","residential","CITY","La Crescent"
"2349","Street Lighting - Non-Metered/Customer Owned",25729,7.049746,25.729,"City of La Crescent","Xcel Energy",2020,"Electricity","commercial","CITY","La Crescent"
"2350","Street Lighting - Non-Metered/Xcel-Owned",84724,23.214376,84.724,"City of La Crescent","Xcel Energy",2020,"Electricity","commercial","CITY","La Crescent"
"2351","Residential",NA,NA,NA,"City of Lake Crystal","Xcel Energy",2020,"Electricity","residential","CITY","Lake Crystal"
"2352","Business",21677514,5939.638836,21677.514,"City of Lake Elmo","Xcel Energy",2020,"Electricity","Business","CITY","Lake Elmo"
"2353","Residential",48117922,13184.310628,48117.922,"City of Lake Elmo","Xcel Energy",2020,"Electricity","residential","CITY","Lake Elmo"
"2354","Street Lighting - Metered",23141,6.340634,23.141,"City of Lake Elmo","Xcel Energy",2020,"Electricity","commercial","CITY","Lake Elmo"
"2355","Street Lighting - Non-Metered/Customer Owned",2554,0.699796,2.554,"City of Lake Elmo","Xcel Energy",2020,"Electricity","commercial","CITY","Lake Elmo"
"2356","Street Lighting - Non-Metered/Xcel-Owned",152331,41.738694,152.331,"City of Lake Elmo","Xcel Energy",2020,"Electricity","commercial","CITY","Lake Elmo"
"2357","Business",136383633,37369.115442,136383.633,"City of Lakeville","Xcel Energy",2020,"Electricity","Business","CITY","Lakeville"
"2358","Residential",46677215,12789.55691,46677.215,"City of Lakeville","Xcel Energy",2020,"Electricity","residential","CITY","Lakeville"
"2359","Street Lighting - Metered",0,0,0,"City of Lakeville","Xcel Energy",2020,"Electricity","commercial","CITY","Lakeville"
"2360","Street Lighting - Non-Metered/Customer Owned",56004,15.345096,56.004,"City of Lakeville","Xcel Energy",2020,"Electricity","commercial","CITY","Lakeville"
"2361","Street Lighting - Non-Metered/Xcel-Owned",674110,184.70614,674.11,"City of Lakeville","Xcel Energy",2020,"Electricity","commercial","CITY","Lakeville"
"2362","Business *",3690458,1011.185492,3690.458,"City of Lauderdale","Xcel Energy",2020,"Electricity","Business","CITY","Lauderdale"
"2363","Residential",6482407,1776.179518,6482.407,"City of Lauderdale","Xcel Energy",2020,"Electricity","residential","CITY","Lauderdale"
"2364","Street Lighting - Metered",39925,10.93945,39.925,"City of Lauderdale","Xcel Energy",2020,"Electricity","commercial","CITY","Lauderdale"
"2365","Street Lighting - Non-Metered/Customer Owned",1971,0.540054,1.971,"City of Lauderdale","Xcel Energy",2020,"Electricity","commercial","CITY","Lauderdale"
"2366","Street Lighting - Non-Metered/Xcel-Owned",10026,2.747124,10.026,"City of Lauderdale","Xcel Energy",2020,"Electricity","commercial","CITY","Lauderdale"
"2367","Business *",3371762.97,923.86305378,3371.76297,"City of Lexington","Xcel Energy",2020,"Electricity","Business","CITY","Lexington"
"2368","Residential",4767229,1306.220746,4767.229,"City of Lexington","Xcel Energy",2020,"Electricity","residential","CITY","Lexington"
"2369","Street Lighting - Non-Metered/Customer Owned",4913,1.346162,4.913,"City of Lexington","Xcel Energy",2020,"Electricity","commercial","CITY","Lexington"
"2370","Street Lighting - Non-Metered/Xcel-Owned",8939,2.449286,8.939,"City of Lexington","Xcel Energy",2020,"Electricity","commercial","CITY","Lexington"
"2371","Business *",10325161,2829.094114,10325.161,"City of Mahtomedi","Xcel Energy",2020,"Electricity","Business","CITY","Mahtomedi"
"2372","Residential",28614895,7840.48123,28614.895,"City of Mahtomedi","Xcel Energy",2020,"Electricity","residential","CITY","Mahtomedi"
"2373","Street Lighting - Metered",47317,12.964858,47.317,"City of Mahtomedi","Xcel Energy",2020,"Electricity","commercial","CITY","Mahtomedi"
"2374","Street Lighting - Non-Metered/Customer Owned",34068,9.334632,34.068,"City of Mahtomedi","Xcel Energy",2020,"Electricity","commercial","CITY","Mahtomedi"
"2375","Street Lighting - Non-Metered/Xcel-Owned",30021,8.225754,30.021,"City of Mahtomedi","Xcel Energy",2020,"Electricity","commercial","CITY","Mahtomedi"
"2376","Business",438433939.97,120130.89955178,438433.93997,"City of Mankato","Xcel Energy",2020,"Electricity","Business","CITY","Mankato"
"2377","Residential",114476848.01,31366.65635474,114476.84801,"City of Mankato","Xcel Energy",2020,"Electricity","residential","CITY","Mankato"
"2378","Street Lighting - Metered",505101,138.397674,505.101,"City of Mankato","Xcel Energy",2020,"Electricity","commercial","CITY","Mankato"
"2379","Street Lighting - Non-Metered/Customer Owned",254557,69.748618,254.557,"City of Mankato","Xcel Energy",2020,"Electricity","commercial","CITY","Mankato"
"2380","Street Lighting - Non-Metered/Xcel-Owned",274521,75.218754,274.521,"City of Mankato","Xcel Energy",2020,"Electricity","commercial","CITY","Mankato"
"2381","Business",202864776,55584.948624,202864.776,"City of Maple Grove","Xcel Energy",2020,"Electricity","Business","CITY","Maple Grove"
"2382","Residential",141213188,38692.413512,141213.188,"City of Maple Grove","Xcel Energy",2020,"Electricity","residential","CITY","Maple Grove"
"2383","Street Lighting - Metered",283968,77.807232,283.968,"City of Maple Grove","Xcel Energy",2020,"Electricity","commercial","CITY","Maple Grove"
"2384","Street Lighting - Non-Metered/Customer Owned",601009,164.676466,601.009,"City of Maple Grove","Xcel Energy",2020,"Electricity","commercial","CITY","Maple Grove"
"2385","Street Lighting - Non-Metered/Xcel-Owned",664744,182.139856,664.744,"City of Maple Grove","Xcel Energy",2020,"Electricity","commercial","CITY","Maple Grove"
"2386","Business *",170215567.97,46639.06562378,170215.56797,"City of Maplewood","Xcel Energy",2020,"Electricity","Business","CITY","Maplewood"
"2387","Residential",117661896.93,32239.35975882,117661.89693,"City of Maplewood","Xcel Energy",2020,"Electricity","residential","CITY","Maplewood"
"2388","Street Lighting - Metered",289956,79.447944,289.956,"City of Maplewood","Xcel Energy",2020,"Electricity","commercial","CITY","Maplewood"
"2389","Street Lighting - Non-Metered/Customer Owned",251278,68.850172,251.278,"City of Maplewood","Xcel Energy",2020,"Electricity","commercial","CITY","Maplewood"
"2390","Street Lighting - Non-Metered/Xcel-Owned",256660,70.32484,256.66,"City of Maplewood","Xcel Energy",2020,"Electricity","commercial","CITY","Maplewood"
"2391","Street Lighting - Non-Metered/Xcel-Owned",12330,3.37842,12.33,"City of Marine On St Croix","Xcel Energy",2020,"Electricity","commercial","CITY","Marine On St Croix"
"2392","Business *",1667703,456.950622,1667.703,"City of Mayer","Xcel Energy",2020,"Electricity","Business","CITY","Mayer"
"2393","Residential",6157204,1687.073896,6157.204,"City of Mayer","Xcel Energy",2020,"Electricity","residential","CITY","Mayer"
"2394","Street Lighting - Non-Metered/Customer Owned",48373,13.254202,48.373,"City of Mayer","Xcel Energy",2020,"Electricity","commercial","CITY","Mayer"
"2395","Street Lighting - Non-Metered/Xcel-Owned",57595,15.78103,57.595,"City of Mayer","Xcel Energy",2020,"Electricity","commercial","CITY","Mayer"
"2396","Business",2447571961.96,670634.71757704,2447571.96196,"City of Minneapolis","Xcel Energy",2020,"Electricity","Business","CITY","Minneapolis"
"2397","Residential",1044212473.19,286114.21765406,1044212.47319,"City of Minneapolis","Xcel Energy",2020,"Electricity","residential","CITY","Minneapolis"
"2398","Street Lighting - Metered",12193536,3341.028864,12193.536,"City of Minneapolis","Xcel Energy",2020,"Electricity","commercial","CITY","Minneapolis"
"2399","Street Lighting - Non-Metered/Customer Owned",1885810,516.71194,1885.81,"City of Minneapolis","Xcel Energy",2020,"Electricity","commercial","CITY","Minneapolis"
"2400","Street Lighting - Non-Metered/Xcel-Owned",4495149,1231.670826,4495.149,"City of Minneapolis","Xcel Energy",2020,"Electricity","commercial","CITY","Minneapolis"
"2401","Commercial",127340422,34891.275628,127340.422,"City of Minnetonka","Xcel Energy",2020,"Electricity","commercial","CITY","Minnetonka"
"2402","Industrial",216372485,59286.06089,216372.485,"City of Minnetonka","Xcel Energy",2020,"Electricity","industrial","CITY","Minnetonka"
"2403","Residential",204024317.12,55902.66289088,204024.31712,"City of Minnetonka","Xcel Energy",2020,"Electricity","residential","CITY","Minnetonka"
"2404","Street Lighting - Metered",321001,87.954274,321.001,"City of Minnetonka","Xcel Energy",2020,"Electricity","commercial","CITY","Minnetonka"
"2405","Street Lighting - Non-Metered/Customer Owned",307448,84.240752,307.448,"City of Minnetonka","Xcel Energy",2020,"Electricity","commercial","CITY","Minnetonka"
"2406","Street Lighting - Non-Metered/Xcel-Owned",497354,136.274996,497.354,"City of Minnetonka","Xcel Energy",2020,"Electricity","commercial","CITY","Minnetonka"
"2407","Business *",28881958,7913.656492,28881.958,"City of Montevideo","Xcel Energy",2020,"Electricity","Business","CITY","Montevideo"
"2408","Residential",21790261.87,5970.53175238,21790.26187,"City of Montevideo","Xcel Energy",2020,"Electricity","residential","CITY","Montevideo"
"2409","Street Lighting - Metered",2619,0.717606,2.619,"City of Montevideo","Xcel Energy",2020,"Electricity","commercial","CITY","Montevideo"
"2410","Street Lighting - Non-Metered/Customer Owned",247425,67.79445,247.425,"City of Montevideo","Xcel Energy",2020,"Electricity","commercial","CITY","Montevideo"
"2411","Street Lighting - Non-Metered/Xcel-Owned",141396,38.742504,141.396,"City of Montevideo","Xcel Energy",2020,"Electricity","commercial","CITY","Montevideo"
"2412","Business *",NA,NA,NA,"City of Moorhead","Xcel Energy",2020,"Electricity","Business","CITY","Moorhead"
"2413","Residential",NA,NA,NA,"City of Moorhead","Xcel Energy",2020,"Electricity","residential","CITY","Moorhead"
"2414","Street Lighting - Metered",970,0.26578,0.97,"City of Moorhead","Xcel Energy",2020,"Electricity","commercial","CITY","Moorhead"
"2415","Business",61586674,16874.748676,61586.674,"City of Mounds View","Xcel Energy",2020,"Electricity","Business","CITY","Mounds View"
"2416","Residential",37754771,10344.807254,37754.771,"City of Mounds View","Xcel Energy",2020,"Electricity","residential","CITY","Mounds View"
"2417","Street Lighting - Metered",60870,16.67838,60.87,"City of Mounds View","Xcel Energy",2020,"Electricity","commercial","CITY","Mounds View"
"2418","Street Lighting - Non-Metered/Customer Owned",27623,7.568702,27.623,"City of Mounds View","Xcel Energy",2020,"Electricity","commercial","CITY","Mounds View"
"2419","Street Lighting - Non-Metered/Xcel-Owned",175775,48.16235,175.775,"City of Mounds View","Xcel Energy",2020,"Electricity","commercial","CITY","Mounds View"
"2420","Business",111076195,30434.87743,111076.195,"City of New Brighton","Xcel Energy",2020,"Electricity","Business","CITY","New Brighton"
"2421","Residential",67232004,18421.569096,67232.004,"City of New Brighton","Xcel Energy",2020,"Electricity","residential","CITY","New Brighton"
"2422","Street Lighting - Metered",147510,40.41774,147.51,"City of New Brighton","Xcel Energy",2020,"Electricity","commercial","CITY","New Brighton"
"2423","Street Lighting - Non-Metered/Customer Owned",120543,33.028782,120.543,"City of New Brighton","Xcel Energy",2020,"Electricity","commercial","CITY","New Brighton"
"2424","Street Lighting - Non-Metered/Xcel-Owned",127246,34.865404,127.246,"City of New Brighton","Xcel Energy",2020,"Electricity","commercial","CITY","New Brighton"
"2425","Business *",535469,146.718506,535.469,"City of New Germany","Xcel Energy",2020,"Electricity","Business","CITY","New Germany"
"2426","Residential",1772731,485.728294,1772.731,"City of New Germany","Xcel Energy",2020,"Electricity","residential","CITY","New Germany"
"2427","Street Lighting - Non-Metered/Xcel-Owned",12717,3.484458,12.717,"City of New Germany","Xcel Energy",2020,"Electricity","commercial","CITY","New Germany"
"2428","Business",127342440.94,34891.82881756,127342.44094,"City of New Hope","Xcel Energy",2020,"Electricity","Business","CITY","New Hope"
"2429","Residential",56563516.97,15498.40364978,56563.51697,"City of New Hope","Xcel Energy",2020,"Electricity","residential","CITY","New Hope"
"2430","Street Lighting - Metered",169901,46.552874,169.901,"City of New Hope","Xcel Energy",2020,"Electricity","commercial","CITY","New Hope"
"2431","Street Lighting - Non-Metered/Customer Owned",94758,25.963692,94.758,"City of New Hope","Xcel Energy",2020,"Electricity","commercial","CITY","New Hope"
"2432","Street Lighting - Non-Metered/Xcel-Owned",120950,33.1403,120.95,"City of New Hope","Xcel Energy",2020,"Electricity","commercial","CITY","New Hope"
"2433","Business",3368169,922.878306,3368.169,"City of New London","Xcel Energy",2020,"Electricity","Business","CITY","New London"
"2434","Residential",3766645,1032.06073,3766.645,"City of New London","Xcel Energy",2020,"Electricity","residential","CITY","New London"
"2435","Street Lighting - Metered",9968,2.731232,9.968,"City of New London","Xcel Energy",2020,"Electricity","commercial","CITY","New London"
"2436","Street Lighting - Non-Metered/Xcel-Owned",41098,11.260852,41.098,"City of New London","Xcel Energy",2020,"Electricity","commercial","CITY","New London"
"2437","Business *",14476398,3966.533052,14476.398,"City of Newport","Xcel Energy",2020,"Electricity","Business","CITY","Newport"
"2438","Residential",13161197,3606.167978,13161.197,"City of Newport","Xcel Energy",2020,"Electricity","residential","CITY","Newport"
"2439","Street Lighting - Metered",164321,45.023954,164.321,"City of Newport","Xcel Energy",2020,"Electricity","commercial","CITY","Newport"
"2440","Street Lighting - Non-Metered/Xcel-Owned",49658,13.606292,49.658,"City of Newport","Xcel Energy",2020,"Electricity","commercial","CITY","Newport"
"2441","Business *",NA,NA,NA,"City of North Saint Paul","Xcel Energy",2020,"Electricity","Business","CITY","North Saint Paul"
"2442","Residential",NA,NA,NA,"City of North Saint Paul","Xcel Energy",2020,"Electricity","residential","CITY","North Saint Paul"
"2443","Street Lighting - Metered",3435,0.94119,3.435,"City of North Saint Paul","Xcel Energy",2020,"Electricity","commercial","CITY","North Saint Paul"
"2444","Business *",115444978.97,31631.92423778,115444.97897,"City of Northfield","Xcel Energy",2020,"Electricity","Business","CITY","Northfield"
"2445","Residential",51394336,14082.048064,51394.336,"City of Northfield","Xcel Energy",2020,"Electricity","residential","CITY","Northfield"
"2446","Street Lighting - Metered",45387,12.436038,45.387,"City of Northfield","Xcel Energy",2020,"Electricity","commercial","CITY","Northfield"
"2447","Street Lighting - Non-Metered/Customer Owned",251343,68.867982,251.343,"City of Northfield","Xcel Energy",2020,"Electricity","commercial","CITY","Northfield"
"2448","Street Lighting - Non-Metered/Xcel-Owned",259135,71.00299,259.135,"City of Northfield","Xcel Energy",2020,"Electricity","commercial","CITY","Northfield"
"2449","Business",54365027,14896.017398,54365.027,"City of Oak Park Heights","Xcel Energy",2020,"Electricity","Business","CITY","Oak Park Heights"
"2450","Residential",13055527,3577.214398,13055.527,"City of Oak Park Heights","Xcel Energy",2020,"Electricity","residential","CITY","Oak Park Heights"
"2451","Street Lighting - Metered",58685,16.07969,58.685,"City of Oak Park Heights","Xcel Energy",2020,"Electricity","commercial","CITY","Oak Park Heights"
"2452","Street Lighting - Non-Metered/Customer Owned",7887,2.161038,7.887,"City of Oak Park Heights","Xcel Energy",2020,"Electricity","commercial","CITY","Oak Park Heights"
"2453","Street Lighting - Non-Metered/Xcel-Owned",92244,25.274856,92.244,"City of Oak Park Heights","Xcel Energy",2020,"Electricity","commercial","CITY","Oak Park Heights"
"2454","Business",106138978.99,29082.08024326,106138.97899,"City of Oakdale","Xcel Energy",2020,"Electricity","Business","CITY","Oakdale"
"2455","Residential",76489938,20958.243012,76489.938,"City of Oakdale","Xcel Energy",2020,"Electricity","residential","CITY","Oakdale"
"2456","Street Lighting - Metered",290724,79.658376,290.724,"City of Oakdale","Xcel Energy",2020,"Electricity","commercial","CITY","Oakdale"
"2457","Street Lighting - Non-Metered/Customer Owned",847244,232.144856,847.244,"City of Oakdale","Xcel Energy",2020,"Electricity","commercial","CITY","Oakdale"
"2458","Street Lighting - Non-Metered/Xcel-Owned",125274,34.325076,125.274,"City of Oakdale","Xcel Energy",2020,"Electricity","commercial","CITY","Oakdale"
"2459","Business",16660270,4564.91398,16660.27,"City of Orono","Xcel Energy",2020,"Electricity","Business","CITY","Orono"
"2460","Residential",52885037,14490.500138,52885.037,"City of Orono","Xcel Energy",2020,"Electricity","residential","CITY","Orono"
"2461","Street Lighting - Metered",29811,8.168214,29.811,"City of Orono","Xcel Energy",2020,"Electricity","commercial","CITY","Orono"
"2462","Street Lighting - Non-Metered/Customer Owned",59638,16.340812,59.638,"City of Orono","Xcel Energy",2020,"Electricity","commercial","CITY","Orono"
"2463","Street Lighting - Non-Metered/Xcel-Owned",55214,15.128636,55.214,"City of Orono","Xcel Energy",2020,"Electricity","commercial","CITY","Orono"
"2464","Commercial",126163732.88,34568.86280912,126163.73288,"City of Plymouth","Xcel Energy",2020,"Electricity","commercial","CITY","Plymouth"
"2465","Industrial",316275089,86659.374386,316275.089,"City of Plymouth","Xcel Energy",2020,"Electricity","industrial","CITY","Plymouth"
"2466","Residential",217996078.91,59730.92562134,217996.07891,"City of Plymouth","Xcel Energy",2020,"Electricity","residential","CITY","Plymouth"
"2467","Street Lighting - Metered",270109,74.009866,270.109,"City of Plymouth","Xcel Energy",2020,"Electricity","commercial","CITY","Plymouth"
"2468","Street Lighting - Non-Metered/Customer Owned",247266,67.750884,247.266,"City of Plymouth","Xcel Energy",2020,"Electricity","commercial","CITY","Plymouth"
"2469","Street Lighting - Non-Metered/Xcel-Owned",1177812,322.720488,1177.812,"City of Plymouth","Xcel Energy",2020,"Electricity","commercial","CITY","Plymouth"
"2470","Business",106125857,29078.484818,106125.857,"City of Red Wing","Xcel Energy",2020,"Electricity","Business","CITY","Red Wing"
"2471","Residential",56320807,15431.901118,56320.807,"City of Red Wing","Xcel Energy",2020,"Electricity","residential","CITY","Red Wing"
"2472","Street Lighting - Metered",213246,58.429404,213.246,"City of Red Wing","Xcel Energy",2020,"Electricity","commercial","CITY","Red Wing"
"2473","Street Lighting - Non-Metered/Customer Owned",48584,13.312016,48.584,"City of Red Wing","Xcel Energy",2020,"Electricity","commercial","CITY","Red Wing"
"2474","Street Lighting - Non-Metered/Xcel-Owned",195793,53.647282,195.793,"City of Red Wing","Xcel Energy",2020,"Electricity","commercial","CITY","Red Wing"
"2475","Commercial",37966679,10402.870046,37966.679,"City of Richfield","Xcel Energy",2020,"Electricity","commercial","CITY","Richfield"
"2476","Industrial",70803804,19400.242296,70803.804,"City of Richfield","Xcel Energy",2020,"Electricity","industrial","CITY","Richfield"
"2477","Residential",100121363,27433.253462,100121.363,"City of Richfield","Xcel Energy",2020,"Electricity","residential","CITY","Richfield"
"2478","Street Lighting - Metered",568046,155.644604,568.046,"City of Richfield","Xcel Energy",2020,"Electricity","commercial","CITY","Richfield"
"2479","Street Lighting - Non-Metered/Customer Owned",1334014,365.519836,1334.014,"City of Richfield","Xcel Energy",2020,"Electricity","commercial","CITY","Richfield"
"2480","Street Lighting - Non-Metered/Xcel-Owned",92512,25.348288,92.512,"City of Richfield","Xcel Energy",2020,"Electricity","commercial","CITY","Richfield"
"2481","Business *",27631077,7570.915098,27631.077,"City of Robbinsdale","Xcel Energy",2020,"Electricity","Business","CITY","Robbinsdale"
"2482","Residential",43912096,12031.914304,43912.096,"City of Robbinsdale","Xcel Energy",2020,"Electricity","residential","CITY","Robbinsdale"
"2483","Street Lighting - Metered",128801,35.291474,128.801,"City of Robbinsdale","Xcel Energy",2020,"Electricity","commercial","CITY","Robbinsdale"
"2484","Street Lighting - Non-Metered/Customer Owned",256586,70.304564,256.586,"City of Robbinsdale","Xcel Energy",2020,"Electricity","commercial","CITY","Robbinsdale"
"2485","Street Lighting - Non-Metered/Xcel-Owned",77664,21.279936,77.664,"City of Robbinsdale","Xcel Energy",2020,"Electricity","commercial","CITY","Robbinsdale"
"2486","Residential",NA,NA,NA,"City of Rochester","Xcel Energy",2020,"Electricity","residential","CITY","Rochester"
"2487","Commercial",33915110.99,9292.74041126,33915.11099,"City of Rogers","Xcel Energy",2020,"Electricity","commercial","CITY","Rogers"
"2488","Industrial",113661351,31143.210174,113661.351,"City of Rogers","Xcel Energy",2020,"Electricity","industrial","CITY","Rogers"
"2489","Residential",45581947,12489.453478,45581.947,"City of Rogers","Xcel Energy",2020,"Electricity","residential","CITY","Rogers"
"2490","Street Lighting - Metered",54075,14.81655,54.075,"City of Rogers","Xcel Energy",2020,"Electricity","commercial","CITY","Rogers"
"2491","Street Lighting - Non-Metered/Customer Owned",23465,6.42941,23.465,"City of Rogers","Xcel Energy",2020,"Electricity","commercial","CITY","Rogers"
"2492","Street Lighting - Non-Metered/Xcel-Owned",199949,54.786026,199.949,"City of Rogers","Xcel Energy",2020,"Electricity","commercial","CITY","Rogers"
"2493","Business *",106677334.99,29229.58978726,106677.33499,"City of Rosemount","Xcel Energy",2020,"Electricity","Business","CITY","Rosemount"
"2494","Residential",52505739,14386.572486,52505.739,"City of Rosemount","Xcel Energy",2020,"Electricity","residential","CITY","Rosemount"
"2495","Street Lighting - Metered",36207,9.920718,36.207,"City of Rosemount","Xcel Energy",2020,"Electricity","commercial","CITY","Rosemount"
"2496","Street Lighting - Non-Metered/Customer Owned",86888,23.807312,86.888,"City of Rosemount","Xcel Energy",2020,"Electricity","commercial","CITY","Rosemount"
