"emissions_year","sector","scenario","value_emissions"
2043,"Electricity","bau",318899.48
2043,"Electricity","ppp",340010.24
2043,"Industrial Processes","bau",5847158.58
2043,"Industrial Processes","ppp",3859666.53
2043,"Natural Systems","bau",-1736573.28
2043,"Natural Systems","ppp",-1835044.76
2043,"Transportation","bau",13284920.63
2043,"Transportation","ppp",4974173.34
2043,"Waste","bau",2030457.37
2043,"Waste","ppp",1232574.85
2044,"Agriculture","bau",974068.07
2044,"Agriculture","ppp",826961.36
2044,"Building Fuel","bau",15267074.67
2044,"Building Fuel","ppp",7434874.93
2044,"Electricity","bau",271588.99
2044,"Electricity","ppp",288830.01
2044,"Industrial Processes","bau",5789772.74
2044,"Industrial Processes","ppp",3733245.49
2044,"Natural Systems","bau",-1736573.28
2044,"Natural Systems","ppp",-1840934.41
2044,"Transportation","bau",13021760.02
2044,"Transportation","ppp",4727713
2044,"Waste","bau",2044815.19
2044,"Waste","ppp",1208806.05
2045,"Agriculture","bau",971009.52
2045,"Agriculture","ppp",815617.53
2045,"Building Fuel","bau",15371936.87
2045,"Building Fuel","ppp",6942497.15
2045,"Electricity","bau",226693.91
2045,"Electricity","ppp",240366.39
2045,"Industrial Processes","bau",5732386.9
2045,"Industrial Processes","ppp",3606824.45
2045,"Natural Systems","bau",-1736573.28
2045,"Natural Systems","ppp",-1846391.36
2045,"Transportation","bau",12758599.41
2045,"Transportation","ppp",4481252.66
2045,"Waste","bau",2059173.02
2045,"Waste","ppp",1185037.25
2046,"Agriculture","bau",967950.96
2046,"Agriculture","ppp",804338.21
2046,"Building Fuel","bau",15476799.06
2046,"Building Fuel","ppp",6588667.89
2046,"Electricity","bau",185011.3
2046,"Electricity","ppp",195818.82
2046,"Industrial Processes","bau",5681418.1
2046,"Industrial Processes","ppp",3459357.74
2046,"Natural Systems","bau",-1736573.28
2046,"Natural Systems","ppp",-1851399.64
2046,"Transportation","bau",12495599.97
2046,"Transportation","ppp",4332591.97
2046,"Waste","bau",2073530.85
2046,"Waste","ppp",1163910.33
2047,"Agriculture","bau",964892.41
2047,"Agriculture","ppp",793123.13
2047,"Building Fuel","bau",15581661.26
2047,"Building Fuel","ppp",6236120.05
2047,"Electricity","bau",145760.51
2047,"Electricity","ppp",154278.62
2047,"Industrial Processes","bau",5630449.3
2047,"Industrial Processes","ppp",3311891.02
2047,"Natural Systems","bau",-1736573.28
2047,"Natural Systems","ppp",-1855956.25
2047,"Transportation","bau",12232600.53
2047,"Transportation","ppp",4183931.29
2047,"Waste","bau",2087888.67
2047,"Waste","ppp",1142783.4
2048,"Agriculture","bau",961833.85
2048,"Agriculture","ppp",781972.02
2048,"Building Fuel","bau",15686523.46
2048,"Building Fuel","ppp",5884855
2048,"Electricity","bau",108350.52
2048,"Electricity","ppp",115046.62
2048,"Industrial Processes","bau",5579480.5
2048,"Industrial Processes","ppp",3164424.31
2048,"Natural Systems","bau",-1736573.28
2048,"Natural Systems","ppp",-1860069.19
2048,"Transportation","bau",11969601.1
2048,"Transportation","ppp",4035270.6
2048,"Waste","bau",2102246.5
2048,"Waste","ppp",1121656.47
2049,"Agriculture","bau",958775.3
2049,"Agriculture","ppp",770884.64
2049,"Building Fuel","bau",15791385.66
2049,"Building Fuel","ppp",5534872.59
2049,"Electricity","bau",72333.94
2049,"Electricity","ppp",77585.26
2049,"Industrial Processes","bau",5528511.69
2049,"Industrial Processes","ppp",3016957.59
2049,"Natural Systems","bau",-1736573.28
2049,"Natural Systems","ppp",-1863755.15
2049,"Transportation","bau",11706601.66
2049,"Transportation","ppp",3886609.91
2049,"Waste","bau",2116604.33
2049,"Waste","ppp",1100529.55
2050,"Agriculture","bau",955716.74
2050,"Agriculture","ppp",759860.73
2050,"Building Fuel","bau",15896247.85
2050,"Building Fuel","ppp",5186171.47
2050,"Electricity","bau",37372.06
2050,"Electricity","ppp",41481.4
2050,"Industrial Processes","bau",5477542.89
2050,"Industrial Processes","ppp",2869490.87
2050,"Natural Systems","bau",-1736573.28
2050,"Natural Systems","ppp",-1867037.32
2050,"Transportation","bau",11443602.22
2050,"Transportation","ppp",3737949.22
2050,"Waste","bau",2130962.15
2050,"Waste","ppp",1079402.62
