Abc Sort,Community Designation,Ctu Code,Ctu Id,Ctu Name,Ctu Type,Five Color,Year,$ Compost Emis T CO2e,$ Electricity Emis T CO2e,$ Electricity R MWh,$ Landfill Emis T CO2e,$ NG R Emis T CO2e,$ NG R Therms,$ Other Fuels Emis T CO2e,$ Passenger Veh Emis T CO2e,$ Transit Emis T CO2e,$ Trucks Emis T CO2e,Actual R E Emis T Co2E,Actual R E Mwh,Actual R Ng Emis T Co2E,Actual R Ng Therms,Composting Scope1 Co2E Tonnes,Composting Scope3 Co2E Tonnes,Est R E Emis T Co2E,Est R E Mwh,Est R Ng Emis T Co2E,Est R Ng Therms,Kerodfo Emis Tonnes Co2E,Kerodfo Res Use Mmbtu,Landfill Scope1 Co2E Tonnes,Landfill Scope3 Co2E Tonnes,Metrotransit Tonnes Co2E,Population,Prop Emis Tonnes Co2E,Prop Res Use Mmbtu,show,Total Co2 W Equiv Heavy,Total Co2 W Equiv Medium,Total Co2 W Equiv Personal,Wastwater Tonnes Co2E
24,Suburban,6058,2394171,Birchwood Village,C,3,2017,0.043559222,3.118089090,5.502913992,0,1.791139571,336.922955556,0.070212728,1.616716066,0,,,,,,0,38.027200645,2722.091775299,4804.043915,1563.664845520,294133.7402,61.29571189,819.0912647,0,0,0,873,0,0,873,,11.55909284,1411.393126,80.952361320
28,Suburban Edge,6382,2394183,Blaine,C,2,2017,0.029171648,1.604325850,2.972886838,0.080202868,1.722214170,323.957718184,0.035894392,3.509706436,0.011272779,1.047136664,,,112579.41810371,21176792.08,19.361881487,1906.921473759,104873.176461669,194334.6397,96978.316811894,18242141.29,498.0276591,6655.116526,0,5242.781259806,736.890313770,65369,1848.352854,29950.39771,65369,56871.629547,11578.647042,229426,5571.904505181
32,Urban,6616,2394198,Bloomington,C,3,2017,0.022152299,1.133456503,3.081993013,0.052800159,1.648044512,310.006007763,0.050969859,4.115767565,0.056650921,0.707876801,100747.281233432,273942.949,146486.436421357,27554884,0,1969.007127038,88470.709013835,240561.5976,129005.058894036,24266543.17,1118.646742,14948.41558,0,4693.142161025,5035.417144092,88885,3411.809216,55284.38074,88885,50195.730354,12723.899067,365830,11130.484437670
132,Suburban,25918,2394245,Greenwood,C,2,2017,0.022433836,2.907608731,5.131450805,0.075842835,1.669279024,314.000333425,0,3.246047819,0,0.072445316,,,,,0,16.242097228,2105.108721388,3715.170383,1208.558013603,227336.2414,0,0,0,54.910212282,0,724,0,0,724,17.43494223,35.01546653,2350.138621,40.978643585
136,Rural Residential,26738,2394273,Ham Lake,C,4,2017,0.029137674,1.948518132,3.438813769,0.003037207,2.040807504,383.886832167,0.049383773,3.146800545,,0.329112325,,,32965.163608733,6200924,0,470.660840154,31474.413392809,55547.15881,23736.856998735,4465030.054,283.4926675,3788.297099,0,49.060012236,,16153,514.2034256,8332.065529,16153,3240.838962,2075.312417,50830.269197,
138,Rural Centers,26666,2394274,Hamburg,C,2,2017,0.079387949,1.799689482,4.591115854,0.757077548,1.886408203,354.843495935,0.059392922,3.353649191,,,885.447225055,2258.829,928.112835813,174583,0,39.058871146,1008.285075484,2572.195727,807.678118358,151928.584,15.32392797,204.7728162,0,372.482153589,,492,13.89738988,225.1909602,492,,5.14219209,1649.995402,
140,Rural Centers,26864,2394282,Hampton,C,4,2017,0.053720531,2.467812108,4.355282157,0.040953204,1.404135181,264.125355123,0.090242791,4.491446988,,0.750765070,,,,,0,37.228328069,1710.193790650,3018.210535,973.065680626,183038.8711,0,0,0,28.380570281,,693,62.53825447,1013.359321,693,397.1710854,123.109108,3112.572763,
146,Non-Council,26990,2394288,Hanover,C,1,2017,0.018425014,1.732775301,4.711606805,0.223470404,1.463490174,275.290347523,0,2.265773988,,0.012255290,,,,,0,13.763485410,1294.383149545,3519.570283,1093.227160254,205641.8896,0,0,0,166.932391860,,747,0,0,747,1.5064499,7.64825198,1692.533169,
152,Emerging Suburban Edge,27530,2394320,Hastings,C,5,2017,0.040450388,1.329075045,3.307168949,0.081077260,1.638736280,308.255079505,0.064453442,2.859965370,,0.572597249,30090.259025743,74874.305,37100.989382094,6978895,704.368408391,915.796791717,27449.478981212,68303.1894,31682.026558532,5959559.042,0,0,0,1835.589167019,,22640,1459.225938,23645.05082,22640,10364.175929,2599.425793,64749.615972,1994.219548960
156,Urban Center,29258,2394389,Hilltop,C,1,2017,0.032519815,1.027262323,2.793239348,0.004167725,1.593811626,299.804511278,0.026122913,3.776497123,0.153903574,,819.755333822,2229.005,1271.861677777,239244,0,25.950812095,598.058922526,1626.188051,630.366055436,118575.2344,0,0,0,3.325844812,122.815052295,798,20.84608482,337.7864404,798,,36.93186526,3013.644704,116.757497691
160,Urban Center,30140,2394417,Hopkins,C,5,2017,0.019516661,0.923150488,2.510147806,0.055362773,1.032314095,194.183815452,0.093779531,3.060841338,0.045060295,2.616120621,17612.788156673,47891.11,,,0.530643977,372.358376449,14483.947938146,39383.44899,19695.520616365,3704833.015,260.5067755,3481.137875,0,1056.266342690,859.705366064,19079,1528.712887,24771.00563,19079,47912.46184,2000.503495,58397.791896,2339.579071897
162,Emerging Suburban Edge,30392,2394440,Hugo,C,1,2017,0.033356259,1.466113957,3.680558498,0.002476602,1.679131700,315.853674627,0.139433299,2.891028456,,0.300871711,,,25452.278315485,4787710,0,505.614167553,22223.355352674,55789.90572,24027.318231305,4519667.369,758.5344346,10136.2544,0,37.540326876,,15158,1354.995513,21956.11862,15158,3093.007489,1467.605902,43822.209343,842.648947229
84,Emerging Suburban Edge,15022,2394471,Dayton,C,3,2017,0.020958191,2.078023414,4.166723357,0.020235802,2.320283214,436.457711443,0.171377663,3.578772690,,1.071911068,,,12592.177000203,2368656,0,113.740104584,11277.433068643,22612.80766,8857.469465109,1666137.491,137.9153517,1842.955346,0,109.819697150,,5427,792.1512233,12835.88473,5427,4525.530575,1291.730792,19421.99939,203.367219434
86,Suburban,15148,2394486,Deephaven,C,4,2017,0.025018610,2.045093677,5.560834853,0.008331580,1.529541318,287.714921733,0.059841851,2.187541317,0,0.079841014,8074.029836483,21954.176,,,0,98.773472121,5930.303107580,16125.14702,6038.629123342,1135898.511,0,0,0,32.893076000,0,3948,236.255628,3828.246324,3948,60.03645925,255.1758627,8636.41312,584.643536324
88,Diversified Rural,15616,2394503,Dellwood,C,3,2017,0.033817035,2.586849332,7.033928122,0.002051911,3.833507565,721.103324349,0.103736508,3.037242582,,0.058526676,2879.163306823,7828.762,4266.693920197,802588,0,37.638360344,1890.428437162,5140.283039,1691.559903248,318191.4862,45.97178392,614.3184486,0,2.283776624,,1113,69.48694941,1125.954801,1113,9.50392658,55.6362638,3380.450994,
94,Suburban,17288,2394586,Eagan,C,1,2017,0.053636931,1.659423648,3.100539817,0.105105536,1.403277669,263.964052535,0.033991641,3.541408714,,1.887541791,113650.606825166,212349.771,,,0,3673.486145805,99957.985520218,186765.8777,96107.681019501,18078370.03,375.4362353,5016.933997,0,7198.467915435,,68488,1952.583278,31639.32991,68488,118679,10594.962171,242544,8240.764284404
