ctu_name,ctu_id,year,utility_id,customer_class_name,customer_class_id,number_of_customers,mwh_per_year
Edina,2394621,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,1288485
Edina,2394621,2015,85,Total,5,24081,581487990.9
Elko New Market,2394658,2015,85,Business *,8,15,130250
Elko New Market,2394658,2015,85,Residential,1,77,769302
Elko New Market,2394658,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,90205
Elko New Market,2394658,2015,85,Total,5,92,989757
Falcon Heights,2394738,2015,85,Business *,8,167,5249353.01
Falcon Heights,2394738,2015,85,Residential,1,1913,12184229.05
Falcon Heights,2394738,2015,85,Street Lighting - Metered,9,,65249
Falcon Heights,2394738,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,20546
Falcon Heights,2394738,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,84925
Falcon Heights,2394738,2015,85,Total,5,2080,17604302.06
Farmington,2394747,2015,85,Business *,8,362,30894597
Farmington,2394747,2015,85,Residential,1,3427,29065407
Farmington,2394747,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,7940
Farmington,2394747,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,383960
Farmington,2394747,2015,85,Total,5,3789,60351904
Fridley,2394826,2015,85,Business,7,1671,351908723.9
Fridley,2394826,2015,85,Residential,1,11805,76737682.02
Fridley,2394826,2015,85,Street Lighting - Metered,9,,206867
Fridley,2394826,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,139415
Fridley,2394826,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,527233
Fridley,2394826,2015,85,Total,5,13476,429519920.9
Golden Valley,2394924,2015,85,Business,7,1154,270393486.8
Golden Valley,2394924,2015,85,Residential,1,8990,67277565.89
Golden Valley,2394924,2015,85,Street Lighting - Metered,9,,625216
Golden Valley,2394924,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,108117
Golden Valley,2394924,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,817739
Golden Valley,2394924,2015,85,Total,5,10144,339222124.7
Hastings,2394320,2015,85,Business *,8,821,84259346
Hastings,2394320,2015,85,Residential,1,6880,54713441.03
Hastings,2394320,2015,85,Street Lighting - Metered,9,,190961
Hastings,2394320,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,172045
Hastings,2394320,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,438706
Hastings,2394320,2015,85,Total,5,7701,139774499
Hopkins,2394417,2015,85,Commercial,2,944,47127776.02
Hopkins,2394417,2015,85,Industrial,3,205,105045392
Hopkins,2394417,2015,85,Residential,1,8287,45824633.06
Hopkins,2394417,2015,85,Street Lighting - Metered,9,,141937
Hopkins,2394417,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,224533
Hopkins,2394417,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,385395
Hopkins,2394417,2015,85,Total,5,9436,198749666.1
Inver Grove Heights,2395429,2015,85,Business *,8,1234,120756556
Inver Grove Heights,2395429,2015,85,Residential,1,12629,92646258.04
Inver Grove Heights,2395429,2015,85,Street Lighting - Metered,9,,295299
Inver Grove Heights,2395429,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,144453
Inver Grove Heights,2395429,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,498214
Inver Grove Heights,2395429,2015,85,Total,5,13863,214340780.1
Jordan,2395483,2015,85,Business,7,252,16265888.02
Jordan,2395483,2015,85,Residential,1,1463,11761377.01
Jordan,2395483,2015,85,Street Lighting - Non-Metered/Customer Owned,10,,93930
Jordan,2395483,2015,85,Street Lighting - Non-Metered/Xcel-Owned,11,,173136
Jordan,2395483,2015,85,Total,5,1715,28294331.03
